Time_Days	Prod_method	Mean_part_size	Encaps_rate	Hyper_wiener_index	PLGA_conc	PVA_conc_inner_phase	Inner_phase_volume	PLGA_Mw	diss_add_conc	diss_pH	PVA_Mw	PLGA_visc	PLGA_to_Placticizer	PVA_conc_outer_phase	S_no	pH_1_logd	Dreiding_energy	pH_0_logd	Fused_aliphatic_ring_count	C_no	Q_perc
0.0	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	0.0
1.129	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	10.075
2.097	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	11.472000000000001
8.065	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	13.128
15.0	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	16.18
23.065	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	18.108
30.0	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	19.76
36.774	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	20.853
45.806000000000004	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	23.616999999999997
48.871	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	26.405
58.065	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	35.888000000000005
65.0	1	52.73	41.62	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	38.66
0.0	1	53.62	38.82	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	1.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	0.0
1.129	1	53.62	38.82	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	1.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	25.095
1.935	1	53.62	38.82	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	1.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	29.275
8.065	1	53.62	38.82	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	1.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	34.271
15.0	1	53.62	38.82	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	1.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	38.426
23.065	1	53.62	38.82	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	1.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	41.183
30.0	1	53.62	38.82	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	1.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	43.108000000000004
36.774	1	53.62	38.82	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	1.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	45.033
45.806000000000004	1	53.62	38.82	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	1.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	48.901
49.032	1	53.62	38.82	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	1.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	51.956
57.903	1	53.62	38.82	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	1.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	58.614
65.0	1	53.62	38.82	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	1.0	2.0	39	-2.2	1166699.675	-2.2	0	2935	59.98
0.0	1	58.22	46.91	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	10.0	2.0	39	10.92	1166699.675	10.92	0	2935	0.0
0.835	1	58.22	46.91	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	10.0	2.0	39	10.92	1166699.675	10.92	0	2935	6.843999999999999
2.005	1	58.22	46.91	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	10.0	2.0	39	10.92	1166699.675	10.92	0	2935	10.782
9.021	1	58.22	46.91	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	10.0	2.0	39	10.92	1166699.675	10.92	0	2935	12.629000000000001
16.038	1	58.22	46.91	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	10.0	2.0	39	10.92	1166699.675	10.92	0	2935	13.23
23.89	1	58.22	46.91	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	10.0	2.0	39	10.92	1166699.675	10.92	0	2935	15.074000000000002
29.905	1	58.22	46.91	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	10.0	2.0	39	10.92	1166699.675	10.92	0	2935	16.715999999999998
36.754	1	58.22	46.91	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	10.0	2.0	39	10.92	1166699.675	10.92	0	2935	17.941
44.773	1	58.22	46.91	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	10.0	2.0	39	10.92	1166699.675	10.92	0	2935	20.199
50.788000000000004	1	58.22	46.91	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	10.0	2.0	39	10.92	1166699.675	10.92	0	2935	23.916
57.803999999999995	1	58.22	46.91	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	10.0	2.0	39	10.92	1166699.675	10.92	0	2935	27.421999999999997
0.0	1	62.0	30.98	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	10.92	1166699.675	10.92	0	2935	0.0
1.002	1	62.0	30.98	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	10.92	1166699.675	10.92	0	2935	9.126
2.005	1	62.0	30.98	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	10.92	1166699.675	10.92	0	2935	12.235
8.854	1	62.0	30.98	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	10.92	1166699.675	10.92	0	2935	13.667
16.038	1	62.0	30.98	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	10.92	1166699.675	10.92	0	2935	14.89
23.89	1	62.0	30.98	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	10.92	1166699.675	10.92	0	2935	16.734
29.905	1	62.0	30.98	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	10.92	1166699.675	10.92	0	2935	18.791
36.754	1	62.0	30.98	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	10.92	1166699.675	10.92	0	2935	20.638
44.773	1	62.0	30.98	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	10.92	1166699.675	10.92	0	2935	25.801
50.788000000000004	1	62.0	30.98	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	10.92	1166699.675	10.92	0	2935	30.14
57.803999999999995	1	62.0	30.98	-429981997	13.33	0.0	3.0	46000	0.0	7.4	5000	0.63	2.0	2.0	39	10.92	1166699.675	10.92	0	2935	35.098
1.0070000000000001	1	70.0	85.3	899761443	18.0	0.0	2.5	23000	0.05	7.4	40500	0.3	0.0	2.0	5	0.0	29156.8	0.0	0	821	13.187000000000001
3.022	1	70.0	85.3	899761443	18.0	0.0	2.5	23000	0.05	7.4	40500	0.3	0.0	2.0	5	0.0	29156.8	0.0	0	821	17.582
4.91	1	70.0	85.3	899761443	18.0	0.0	2.5	23000	0.05	7.4	40500	0.3	0.0	2.0	5	0.0	29156.8	0.0	0	821	29.121
7.932	1	70.0	85.3	899761443	18.0	0.0	2.5	23000	0.05	7.4	40500	0.3	0.0	2.0	5	0.0	29156.8	0.0	0	821	32.418
10.953	1	70.0	85.3	899761443	18.0	0.0	2.5	23000	0.05	7.4	40500	0.3	0.0	2.0	5	0.0	29156.8	0.0	0	821	46.153999999999996
13.975	1	70.0	85.3	899761443	18.0	0.0	2.5	23000	0.05	7.4	40500	0.3	0.0	2.0	5	0.0	29156.8	0.0	0	821	59.89
16.996	1	70.0	85.3	899761443	18.0	0.0	2.5	23000	0.05	7.4	40500	0.3	0.0	2.0	5	0.0	29156.8	0.0	0	821	70.87899999999999
21.025	1	70.0	85.3	899761443	18.0	0.0	2.5	23000	0.05	7.4	40500	0.3	0.0	2.0	5	0.0	29156.8	0.0	0	821	81.868
24.928	1	70.0	85.3	899761443	18.0	0.0	2.5	23000	0.05	7.4	40500	0.3	0.0	2.0	5	0.0	29156.8	0.0	0	821	90.65899999999999
29.083000000000002	1	70.0	85.3	899761443	18.0	0.0	2.5	23000	0.05	7.4	40500	0.3	0.0	2.0	5	0.0	29156.8	0.0	0	821	96.154
32.986	1	70.0	85.3	899761443	18.0	0.0	2.5	23000	0.05	7.4	40500	0.3	0.0	2.0	5	0.0	29156.8	0.0	0	821	100.54899999999999
0.0	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	0.0
0.017	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	45.185
0.252	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	68.889
1.0	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	78.51899999999999
2.008	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	95.556
3.0	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	96.667
5.024	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	97.385
6.0120000000000005	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	98.76899999999999
7.03	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.23100000000001
8.017000000000001	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
9.993	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
11.01	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
12.027000000000001	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
13.015	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
14.032	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
18.958	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	100.0
23.958000000000002	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	100.0
26.979	2	24.5	86.76	-429981997	6.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	100.0
0.0	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	0.0
0.025	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	41.481
0.261	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	64.444
1.0	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	77.03699999999999
2.008	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	94.444
3.0	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	96.667
5.024	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	97.385
6.0120000000000005	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	98.76899999999999
7.03	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.23100000000001
8.017000000000001	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
9.993	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
11.01	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
12.027000000000001	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
13.015	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
14.032	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
18.958	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	100.0
23.958000000000002	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	100.0
26.979	2	24.5	90.16	-429981997	10.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	100.0
0.0	2	24.5	94.86	-429981997	20.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	0.0
0.025	2	24.5	94.86	-429981997	20.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	46.667
0.252	2	24.5	94.86	-429981997	20.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	69.63
1.008	2	24.5	94.86	-429981997	20.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	84.074
2.0	2	24.5	94.86	-429981997	20.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	89.259
3.008	2	24.5	94.86	-429981997	20.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	92.22200000000001
5.023	2	24.5	94.86	-429981997	20.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	93.23100000000001
6.011	2	24.5	94.86	-429981997	20.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	94.154
7.029	2	24.5	94.86	-429981997	20.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	95.07700000000001
8.016	2	24.5	94.86	-429981997	20.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	95.538
10.021	2	24.5	94.86	-429981997	20.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	95.538
11.039000000000001	2	24.5	94.86	-429981997	20.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	96.462
12.027000000000001	2	24.5	94.86	-429981997	20.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	98.76899999999999
13.015	2	24.5	94.86	-429981997	20.0	2.5	1.0	38000	0.0	7.4	40000	0.45	0.0	0.5	39	0.0	1166699.675	0.0	0	2935	99.69200000000001
