Time_Days	Prod_method	Mean_part_size	Encaps_rate	Hyper_wiener_index	PLGA_conc	PVA_conc_inner_phase	Inner_phase_volume	PLGA_Mw	diss_add_conc	diss_pH	PVA_Mw	PLGA_visc	PLGA_to_Placticizer	PVA_conc_outer_phase	S_no	pH_1_logd	Dreiding_energy	pH_0_logd	Fused_aliphatic_ring_count	C_no	Q_perc
1.085	1	45.0	59.06	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	100.0	0.3	39	1.3	1166699.675	1.3	0	2935	24.56
7.979	1	45.0	59.06	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	100.0	0.3	39	1.3	1166699.675	1.3	0	2935	28.916
14.956	1	45.0	59.06	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	100.0	0.3	39	1.3	1166699.675	1.3	0	2935	30.337
21.930999999999997	1	45.0	59.06	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	100.0	0.3	39	1.3	1166699.675	1.3	0	2935	31.308000000000003
29.014	1	45.0	59.06	-429981997	20.0	1.0	1.0	34000	0.0	7.4	50000	0.4	100.0	0.3	39	1.3	1166699.675	1.3	0	2935	37.238
0.0	4	2.2	29.0	-550519458	0.602	0.0	20.0	31000	0.0	7.4	0	0.38	2.8	0.0	7	-4.73	28921.96	-4.73	0	993	0.0
1.026	4	2.2	29.0	-550519458	0.602	0.0	20.0	31000	0.0	7.4	0	0.38	2.8	0.0	7	-4.73	28921.96	-4.73	0	993	29.412
1.93	4	2.2	29.0	-550519458	0.602	0.0	20.0	31000	0.0	7.4	0	0.38	2.8	0.0	7	-4.73	28921.96	-4.73	0	993	36.029
4.029	4	2.2	29.0	-550519458	0.602	0.0	20.0	31000	0.0	7.4	0	0.38	2.8	0.0	7	-4.73	28921.96	-4.73	0	993	42.278999999999996
5.926	4	2.2	29.0	-550519458	0.602	0.0	20.0	31000	0.0	7.4	0	0.38	2.8	0.0	7	-4.73	28921.96	-4.73	0	993	45.588
7.922000000000001	4	2.2	29.0	-550519458	0.602	0.0	20.0	31000	0.0	7.4	0	0.38	2.8	0.0	7	-4.73	28921.96	-4.73	0	993	48.897
10.021	4	2.2	29.0	-550519458	0.602	0.0	20.0	31000	0.0	7.4	0	0.38	2.8	0.0	7	-4.73	28921.96	-4.73	0	993	54.044
12.017000000000001	4	2.2	29.0	-550519458	0.602	0.0	20.0	31000	0.0	7.4	0	0.38	2.8	0.0	7	-4.73	28921.96	-4.73	0	993	57.353
14.117	4	2.2	29.0	-550519458	0.602	0.0	20.0	31000	0.0	7.4	0	0.38	2.8	0.0	7	-4.73	28921.96	-4.73	0	993	64.33800000000001
16.015	4	2.2	29.0	-550519458	0.602	0.0	20.0	31000	0.0	7.4	0	0.38	2.8	0.0	7	-4.73	28921.96	-4.73	0	993	68.382
20.012	4	2.2	29.0	-550519458	0.602	0.0	20.0	31000	0.0	7.4	0	0.38	2.8	0.0	7	-4.73	28921.96	-4.73	0	993	78.309
26.195999999999998	4	2.2	29.0	-550519458	0.602	0.0	20.0	31000	0.0	7.4	0	0.38	2.8	0.0	7	-4.73	28921.96	-4.73	0	993	83.088
29.989	4	2.2	29.0	-550519458	0.602	0.0	20.0	31000	0.0	7.4	0	0.38	2.8	0.0	7	-4.73	28921.96	-4.73	0	993	88.603
0.0	4	70.78	71.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	5.29	0.6	39	-7.55	1166699.675	-7.55	0	2935	0.0
1.2329999999999999	4	70.78	71.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	5.29	0.6	39	-7.55	1166699.675	-7.55	0	2935	77.273
7.196000000000001	4	70.78	71.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	5.29	0.6	39	-7.55	1166699.675	-7.55	0	2935	88.01700000000001
14.185	4	70.78	71.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	5.29	0.6	39	-7.55	1166699.675	-7.55	0	2935	96.281
28.119	4	70.78	71.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	5.29	0.6	39	-7.55	1166699.675	-7.55	0	2935	95.868
46.163999999999994	4	70.78	71.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	5.29	0.6	39	-7.55	1166699.675	-7.55	0	2935	88.01700000000001
54.157	4	70.78	71.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	5.29	0.6	39	-7.55	1166699.675	-7.55	0	2935	85.537
63.198	4	70.78	71.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	5.29	0.6	39	-7.55	1166699.675	-7.55	0	2935	88.84299999999999
84.324	4	70.78	71.0	-429981997	12.14	0.0	3.5	46000	0.0	7.5	31000	0.525	5.29	0.6	39	-7.55	1166699.675	-7.55	0	2935	75.207
0.0	4	102.29	74.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	8.41	0.6	39	-7.55	1166699.675	-7.55	0	2935	0.0
1.1	4	102.29	74.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	8.41	0.6	39	-7.55	1166699.675	-7.55	0	2935	26.236
7.1129999999999995	4	102.29	74.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	8.41	0.6	39	-7.55	1166699.675	-7.55	0	2935	56.185
14.35	4	102.29	74.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	8.41	0.6	39	-7.55	1166699.675	-7.55	0	2935	60.731
28.053	4	102.29	74.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	8.41	0.6	39	-7.55	1166699.675	-7.55	0	2935	70.637
46.107	4	102.29	74.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	8.41	0.6	39	-7.55	1166699.675	-7.55	0	2935	66.631
54.37	4	102.29	74.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	8.41	0.6	39	-7.55	1166699.675	-7.55	0	2935	68.313
63.425	4	102.29	74.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	8.41	0.6	39	-7.55	1166699.675	-7.55	0	2935	77.375
84.321	4	102.29	74.0	-429981997	12.14	0.0	3.5	61500	0.0	7.5	31000	0.675	8.41	0.6	39	-7.55	1166699.675	-7.55	0	2935	74.204
0.0	1	0.74	51.5	-239907213	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	41	0.0	4215634.48	0.0	0	2926	0.0
4.89	1	0.74	51.5	-239907213	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	41	0.0	4215634.48	0.0	0	2926	2.972
9.779	1	0.74	51.5	-239907213	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	41	0.0	4215634.48	0.0	0	2926	4.437
14.809000000000001	1	0.74	51.5	-239907213	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	41	0.0	4215634.48	0.0	0	2926	11.424000000000001
19.988	1	0.74	51.5	-239907213	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	41	0.0	4215634.48	0.0	0	2926	29.456
25.023000000000003	1	0.74	51.5	-239907213	10.0	1.0	2.0	46000	0.0	7.4	30000	0.525	0.0	0.3	41	0.0	4215634.48	0.0	0	2926	39.958
